"species"	"y"	"x"	"date"	"year"	"month"	"day"	"quarter"	"season"
"Rhincodon typus"	-22	113.9	17433	2017	9	24	"Q3"	"Fall"
"Rhincodon typus"	1.6215	118.54401	19596	2023	8	27	"Q3"	"Summer"
"Rhincodon typus"	-12.21577	130.86674	17014	2016	8	1	"Q3"	"Summer"
"Rhincodon typus"	-12.5	123.5	17021	2016	8	8	"Q3"	"Summer"
"Rhincodon typus"	-22.6	113.6	17405	2017	8	27	"Q3"	"Summer"
"Rhincodon typus"	-14.69972	117.23667	16681	2015	9	3	"Q3"	"Fall"
"Rhincodon typus"	-22	113.9	16638	2015	7	22	"Q3"	"Summer"
"Rhincodon typus"	-14.69028	113.71944	16651	2015	8	4	"Q3"	"Summer"
"Rhincodon typus"	-10.5	104.5	16644	2015	7	28	"Q3"	"Summer"
"Rhincodon typus"	-22	113.9	17422	2017	9	13	"Q3"	"Fall"
"Rhincodon typus"	-14.5	99.5	17799	2018	9	25	"Q3"	"Fall"
"Rhincodon typus"	-13.5	99.5	17802	2018	9	28	"Q3"	"Fall"
"Rhincodon typus"	-12.97056	114.46028	16672	2015	8	25	"Q3"	"Summer"
"Rhincodon typus"	-11.5	122.5	17043	2016	8	30	"Q3"	"Summer"
"Rhincodon typus"	-14.5	122.5	17008	2016	7	26	"Q3"	"Summer"
"Rhincodon typus"	-23.174515235457	113.559556786704	17435	2017	9	26	"Q3"	"Fall"
"Rhincodon typus"	-22	113.9	17716	2018	7	4	"Q3"	"Summer"
"Rhincodon typus"	-8.21606648199442	118.296398891967	19937	2024	8	2	"Q3"	"Summer"
"Rhincodon typus"	-12.76278	113.84833	16683	2015	9	5	"Q3"	"Fall"
"Rhincodon typus"	-10.72167	112.75444	16672	2015	8	25	"Q3"	"Summer"
"Rhincodon typus"	-22	113.9	17053	2016	9	9	"Q3"	"Fall"
"Rhincodon typus"	-20.15425	113.87854	17776	2018	9	2	"Q3"	"Fall"
"Rhincodon typus"	-25.7	113	17788	2018	9	14	"Q3"	"Fall"
"Rhincodon typus"	-18.59906	115.71964	17752	2018	8	9	"Q3"	"Summer"
"Rhincodon typus"	-15.5	123.5	17415	2017	9	6	"Q3"	"Fall"
"Rhincodon typus"	-11.5	114.5	17722	2018	7	10	"Q3"	"Summer"
"Rhincodon typus"	-22	113.9	17356	2017	7	9	"Q3"	"Summer"
"Rhincodon typus"	-16.22778	115.17917	16666	2015	8	19	"Q3"	"Summer"
"Rhincodon typus"	-22	113.9	17737	2018	7	25	"Q3"	"Summer"
"Rhincodon typus"	-17.97475	108.21965	17409	2017	8	31	"Q3"	"Summer"
"Rhincodon typus"	-13.5	109.5	16635	2015	7	19	"Q3"	"Summer"
"Rhincodon typus"	-16.77035	115.06826	17416	2017	9	7	"Q3"	"Fall"
"Rhincodon typus"	-20.5	112.5	16621	2015	7	5	"Q3"	"Summer"
"Rhincodon typus"	-15.5	113.5	17749	2018	8	6	"Q3"	"Summer"
"Rhincodon typus"	-11.5	107.5	17756	2018	8	13	"Q3"	"Summer"
"Rhincodon typus"	-7.5	103.5	17799	2018	9	25	"Q3"	"Fall"
"Rhincodon typus"	-8.5	130.5	17757	2018	8	14	"Q3"	"Summer"
"Rhincodon typus"	-23.174515235457	113.559556786704	17416	2017	9	7	"Q3"	"Fall"
"Rhincodon typus"	-22	113.9	17074	2016	9	30	"Q3"	"Fall"
"Rhincodon typus"	-12.5	122.5	17054	2016	9	10	"Q3"	"Fall"
"Rhincodon typus"	-13.45028	113.79444	16686	2015	9	8	"Q3"	"Fall"
"Rhincodon typus"	-22	113.9	17764	2018	8	21	"Q3"	"Summer"
"Rhincodon typus"	-11.5	123.5	17023	2016	8	10	"Q3"	"Summer"
"Rhincodon typus"	-18.5	111.5	16625	2015	7	9	"Q3"	"Summer"
"Rhincodon typus"	-8.96398891966755	117.797783933518	19603	2023	9	3	"Q3"	"Fall"
"Rhincodon typus"	-22.6	113.6	17403	2017	8	25	"Q3"	"Summer"
"Rhincodon typus"	-12.5	100.5	17779	2018	9	5	"Q3"	"Fall"
"Rhincodon typus"	-15.17361	115.76861	16654	2015	8	7	"Q3"	"Summer"
"Rhincodon typus"	9.93165	123.375	16676	2015	8	29	"Q3"	"Summer"
"Rhincodon typus"	-13.5	123.5	17802	2018	9	28	"Q3"	"Fall"
"Rhincodon typus"	-14.18648	118.84926	17755	2018	8	12	"Q3"	"Summer"
"Rhincodon typus"	-16.40584	113.99248	17421	2017	9	12	"Q3"	"Fall"
"Rhincodon typus"	-20.41694	114.47722	16658	2015	8	11	"Q3"	"Summer"
"Rhincodon typus"	-22	113.9	17056	2016	9	12	"Q3"	"Fall"
"Rhincodon typus"	-11.5	110.5	17739	2018	7	27	"Q3"	"Summer"
"Rhincodon typus"	-6.37551	124.19597	19914	2024	7	10	"Q3"	"Summer"
"Rhincodon typus"	-8.21606648199442	118.296398891967	19579	2023	8	10	"Q3"	"Summer"
"Rhincodon typus"	-12.37722	121.28444	16689	2015	9	11	"Q3"	"Fall"
"Rhincodon typus"	-15.91	120.39111	16663	2015	8	16	"Q3"	"Summer"
"Rhincodon typus"	-13.5	100.5	17776	2018	9	2	"Q3"	"Fall"
"Rhincodon typus"	-21.52396	113.55298	17738	2018	7	26	"Q3"	"Summer"
"Rhincodon typus"	-19.5	111.5	16622	2015	7	6	"Q3"	"Summer"
"Rhincodon typus"	-10.5	110.5	17740	2018	7	28	"Q3"	"Summer"
"Rhincodon typus"	-17.68584	112.49366	17430	2017	9	21	"Q3"	"Fall"
"Rhincodon typus"	-21.43995	110.83828	17378	2017	7	31	"Q3"	"Summer"
"Rhincodon typus"	-9.5	109.5	17741	2018	7	29	"Q3"	"Summer"
"Rhincodon typus"	-23.174515235457	113.559556786704	17416	2017	9	7	"Q3"	"Fall"
"Rhincodon typus"	10.5065	99.4247	16691	2015	9	13	"Q3"	"Fall"
"Rhincodon typus"	-22.6	113.6	17402	2017	8	24	"Q3"	"Summer"
"Rhincodon typus"	-21.61344	114.29752	17369	2017	7	22	"Q3"	"Summer"
"Rhincodon typus"	-22	113.9	17426	2017	9	17	"Q3"	"Fall"
"Rhincodon typus"	-6.5	133.5	17763	2018	8	20	"Q3"	"Summer"
"Rhincodon typus"	-22	113.9	16635	2015	7	19	"Q3"	"Summer"
"Rhincodon typus"	-11.5	137.5	17436	2017	9	27	"Q3"	"Fall"
"Rhincodon typus"	-11.5	105.5	16641	2015	7	25	"Q3"	"Summer"
"Rhincodon typus"	-14.16333	113.59194	16689	2015	9	11	"Q3"	"Fall"
"Rhincodon typus"	-22	113.9	17022	2016	8	9	"Q3"	"Summer"
"Rhincodon typus"	-14.5	101.5	17773	2018	8	30	"Q3"	"Summer"
"Rhincodon typus"	-19.19491	115.47658	17412	2017	9	3	"Q3"	"Fall"
"Rhincodon typus"	-19.52302	109.50265	17407	2017	8	29	"Q3"	"Summer"
"Rhincodon typus"	-22.02363	113.3458	17788	2018	9	14	"Q3"	"Fall"
"Rhincodon typus"	-14.5	120.5	17792	2018	9	18	"Q3"	"Fall"
"Rhincodon typus"	-22.6	113.6	17431	2017	9	22	"Q3"	"Fall"
"Rhincodon typus"	-14.5	116.5	17381	2017	8	3	"Q3"	"Summer"
"Rhincodon typus"	-18.99807	117.75014	17745	2018	8	2	"Q3"	"Summer"
"Rhincodon typus"	10.17619	99.96872	17783	2018	9	9	"Q3"	"Fall"
"Rhincodon typus"	-21.85208	109.48411	17427	2017	9	18	"Q3"	"Fall"
"Rhincodon typus"	-22	113.9	17375	2017	7	28	"Q3"	"Summer"
"Rhincodon typus"	-14.5	100.5	17774	2018	8	31	"Q3"	"Summer"
"Rhincodon typus"	-22	113.9	16637	2015	7	21	"Q3"	"Summer"
"Rhincodon typus"	-12.5	107.5	16638	2015	7	22	"Q3"	"Summer"
"Rhincodon typus"	-22	113.9	17379	2017	8	1	"Q3"	"Summer"
"Rhincodon typus"	-12.5	119.5	17070	2016	9	26	"Q3"	"Fall"
"Rhincodon typus"	-18.5	119.5	16991	2016	7	9	"Q3"	"Summer"
"Rhincodon typus"	-15.6993	115.86805	17438	2017	9	29	"Q3"	"Fall"
"Rhincodon typus"	-5.67501	120.54589	19235	2022	8	31	"Q3"	"Summer"
"Rhincodon typus"	-17.5	118.5	17386	2017	8	8	"Q3"	"Summer"
"Rhincodon typus"	-17.95691	117.55675	17747	2018	8	4	"Q3"	"Summer"
"Rhincodon typus"	-19.87605	115.05957	17754	2018	8	11	"Q3"	"Summer"
"Rhincodon typus"	-22	113.9	17437	2017	9	28	"Q3"	"Fall"
"Rhincodon typus"	-12.35167	114.15722	16675	2015	8	28	"Q3"	"Summer"
