"species"	"y"	"x"	"date"	"year"	"month"	"day"	"quarter"	"season"
"Rhincodon typus"	-8.36541	124.95455	19831	2024	4	18	"Q2"	"Spring"
"Rhincodon typus"	-8.4653739612188	124.030470914127	19826	2024	4	13	"Q2"	"Spring"
"Rhincodon typus"	-8.71468144044318	123.282548476454	19843	2024	4	30	"Q2"	"Spring"
"Rhincodon typus"	-10.62366	110.42055	19827	2024	4	14	"Q2"	"Spring"
"Rhincodon typus"	-9.0981	123.87109	19839	2024	4	26	"Q2"	"Spring"
"Rhincodon typus"	-9.95088	117.72593	19829	2024	4	16	"Q2"	"Spring"
"Rhincodon typus"	-8.71468144044318	123.282548476454	19843	2024	4	30	"Q2"	"Spring"
"Rhincodon typus"	-11.13272	114.82685	19835	2024	4	22	"Q2"	"Spring"
"Rhincodon typus"	-8.71468144044318	123.282548476454	19843	2024	4	30	"Q2"	"Spring"
"Rhincodon typus"	-5.65871	106.65012	19847	2024	5	4	"Q2"	"Spring"
"Rhincodon typus"	-10.24052	111.67672	19848	2024	5	5	"Q2"	"Spring"
"Rhincodon typus"	-9.367	122.92938	19846	2024	5	3	"Q2"	"Spring"
"Rhincodon typus"	-9.0069	122.49667	19849	2024	5	6	"Q2"	"Spring"
"Rhincodon typus"	-9.52997	111.30502	19852	2024	5	9	"Q2"	"Spring"
"Rhincodon typus"	-9.93726	121.16129	19857	2024	5	14	"Q2"	"Spring"
"Rhincodon typus"	-9.37186	121.73647	19859	2024	5	16	"Q2"	"Spring"
"Rhincodon typus"	-9.5834	122.27455	19853	2024	5	10	"Q2"	"Spring"
"Rhincodon typus"	-10.56281	112.35738	19847	2024	5	4	"Q2"	"Spring"
"Rhincodon typus"	-8.96398891966755	118.047091412742	19896	2024	6	22	"Q2"	"Summer"
"Rhincodon typus"	9.53498	123.86754	19901	2024	6	27	"Q2"	"Summer"
"Rhincodon typus"	-6.26501	129.42708	19893	2024	6	19	"Q2"	"Summer"
"Rhincodon typus"	-6.46535	130.5576	19896	2024	6	22	"Q2"	"Summer"
"Rhincodon typus"	-4.25589	130.59413	19889	2024	6	15	"Q2"	"Summer"
