"species"	"y"	"x"	"date"	"year"	"month"	"day"	"quarter"	"season"
"Rhincodon typus"	1.66563	118.26954	17082	2016	10	8	"Q4"	"Fall"
"Rhincodon typus"	0.260387811634395	123.03324099723	19668	2023	11	7	"Q4"	"Fall"
"Rhincodon typus"	-23.174515235457	113.559556786704	17143	2016	12	8	"Q4"	"Winter"
"Rhincodon typus"	-16.05613	111.39307	17463	2017	10	24	"Q4"	"Fall"
"Rhincodon typus"	-12.24139	109.27944	16724	2015	10	16	"Q4"	"Fall"
"Rhincodon typus"	-15.23	113.48722	16740	2015	11	1	"Q4"	"Fall"
"Rhincodon typus"	-18.5	112.5	17146	2016	12	11	"Q4"	"Winter"
"Rhincodon typus"	-15.5396	111.04326	17476	2017	11	6	"Q4"	"Fall"
"Rhincodon typus"	-12.5	98.5	17805	2018	10	1	"Q4"	"Fall"
"Rhincodon typus"	-11.5	100.5	17814	2018	10	10	"Q4"	"Fall"
"Rhincodon typus"	-14.17528	109.21389	16744	2015	11	5	"Q4"	"Fall"
"Rhincodon typus"	-22.6	113.62	17140	2016	12	5	"Q4"	"Winter"
"Rhincodon typus"	-15.55167	108.73917	16740	2015	11	1	"Q4"	"Fall"
"Rhincodon typus"	-22.99167	111.98528	16760	2015	11	21	"Q4"	"Fall"
"Rhincodon typus"	-16.5	120.5	17097	2016	10	23	"Q4"	"Fall"
"Rhincodon typus"	-11.5	99.5	17814	2018	10	10	"Q4"	"Fall"
"Rhincodon typus"	-8.89278	114.20972	16762	2015	11	23	"Q4"	"Fall"
"Rhincodon typus"	-21.89	113.92	17480	2017	11	10	"Q4"	"Fall"
"Rhincodon typus"	-13.90444	114.64667	16726	2015	10	18	"Q4"	"Fall"
"Rhincodon typus"	-26.43811	110.71669	17865	2018	11	30	"Q4"	"Fall"
"Rhincodon typus"	-7.96675900277005	117.797783933518	17819	2018	10	15	"Q4"	"Fall"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19672	2023	11	11	"Q4"	"Fall"
"Rhincodon typus"	-8.96398891966755	115.554016620499	20018	2024	10	22	"Q4"	"Fall"
"Rhincodon typus"	-31.09199	113.69879	17522	2017	12	22	"Q4"	"Winter"
"Rhincodon typus"	-14.40528	115.87167	16756	2015	11	17	"Q4"	"Fall"
"Rhincodon typus"	-12.37472	110.84028	16709	2015	10	1	"Q4"	"Fall"
"Rhincodon typus"	-32.5	112.5	17524	2017	12	24	"Q4"	"Winter"
"Rhincodon typus"	-26.1	113.2	17823	2018	10	19	"Q4"	"Fall"
"Rhincodon typus"	-25.5	113	17814	2018	10	10	"Q4"	"Fall"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19703	2023	12	12	"Q4"	"Winter"
"Rhincodon typus"	-8.96398891966755	117.797783933518	17877	2018	12	12	"Q4"	"Winter"
"Rhincodon typus"	-25.5	113	17458	2017	10	19	"Q4"	"Fall"
"Rhincodon typus"	-20.5	115.7	17824	2018	10	20	"Q4"	"Fall"
"Rhincodon typus"	-22.1709	112.73803	17475	2017	11	5	"Q4"	"Fall"
"Rhincodon typus"	-12.75987	101.39513	19706	2023	12	15	"Q4"	"Winter"
"Rhincodon typus"	-23.174515235457	113.559556786704	17456	2017	10	17	"Q4"	"Fall"
"Rhincodon typus"	-8.41639	112.90583	16781	2015	12	12	"Q4"	"Winter"
"Rhincodon typus"	-15.75889	114.44694	16752	2015	11	13	"Q4"	"Fall"
"Rhincodon typus"	-20.49728	95.37199	17522	2017	12	22	"Q4"	"Winter"
"Rhincodon typus"	-20.71301	114.83905	17805	2018	10	1	"Q4"	"Fall"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19680	2023	11	19	"Q4"	"Fall"
"Rhincodon typus"	-16.09364	96.07737	17492	2017	11	22	"Q4"	"Fall"
"Rhincodon typus"	-21.89	113.92	17121	2016	11	16	"Q4"	"Fall"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19703	2023	12	12	"Q4"	"Winter"
"Rhincodon typus"	-21.89	113.92	17481	2017	11	11	"Q4"	"Fall"
"Rhincodon typus"	-16.92139	116.88861	16724	2015	10	16	"Q4"	"Fall"
"Rhincodon typus"	-12.80861	109.34556	16711	2015	10	3	"Q4"	"Fall"
"Rhincodon typus"	-30.43749	113.56895	17519	2017	12	19	"Q4"	"Winter"
"Rhincodon typus"	-8.82056	110.57944	16739	2015	10	31	"Q4"	"Fall"
"Rhincodon typus"	-12.0584	102.5505	19700	2023	12	9	"Q4"	"Winter"
"Rhincodon typus"	11.84905	102.33094	18219	2019	11	19	"Q4"	"Fall"
"Rhincodon typus"	-15.68528	113.8375	16750	2015	11	11	"Q4"	"Fall"
"Rhincodon typus"	-8.42528	109.20917	16721	2015	10	13	"Q4"	"Fall"
"Rhincodon typus"	-8.21606648199442	118.296398891967	19306	2022	11	10	"Q4"	"Fall"
"Rhincodon typus"	-16.65668	96.16805	17496	2017	11	26	"Q4"	"Fall"
"Rhincodon typus"	-19.57861	117.82194	16710	2015	10	2	"Q4"	"Fall"
"Rhincodon typus"	-21.34504	111.57573	17858	2018	11	23	"Q4"	"Fall"
"Rhincodon typus"	-10.93778	115.77028	16769	2015	11	30	"Q4"	"Fall"
"Rhincodon typus"	-22.6	113.62	16774	2015	12	5	"Q4"	"Winter"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19697	2023	12	6	"Q4"	"Winter"
"Rhincodon typus"	-11.9754	103.8535	19687	2023	11	26	"Q4"	"Fall"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19712	2023	12	21	"Q4"	"Winter"
"Rhincodon typus"	-29.74427	112.2451	17512	2017	12	12	"Q4"	"Winter"
"Rhincodon typus"	-22.6	113.62	16784	2015	12	15	"Q4"	"Winter"
"Rhincodon typus"	-18.20407	147.31262	19295	2022	10	30	"Q4"	"Fall"
"Rhincodon typus"	-12.33143	143.97761	19691	2023	11	30	"Q4"	"Fall"
"Rhincodon typus"	-23.56317	112.82694	17461	2017	10	22	"Q4"	"Fall"
"Rhincodon typus"	-26.96182	113.16637	17841	2018	11	6	"Q4"	"Fall"
"Rhincodon typus"	-8.51564	125.99135	20015	2024	10	19	"Q4"	"Fall"
"Rhincodon typus"	-8.5	99.5	17812	2018	10	8	"Q4"	"Fall"
"Rhincodon typus"	-23.84861	113.39833	16754	2015	11	15	"Q4"	"Fall"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19706	2023	12	15	"Q4"	"Winter"
"Rhincodon typus"	-26.6	113.6	17499	2017	11	29	"Q4"	"Fall"
"Rhincodon typus"	-19.5	113.5	17144	2016	12	9	"Q4"	"Winter"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19703	2023	12	12	"Q4"	"Winter"
"Rhincodon typus"	-14.70333	108.06917	16731	2015	10	23	"Q4"	"Fall"
"Rhincodon typus"	-3.22991689750688	135	20026	2024	10	30	"Q4"	"Fall"
"Rhincodon typus"	9.51954	123.25274	19672	2023	11	11	"Q4"	"Fall"
"Rhincodon typus"	-8.22972	110.68278	16710	2015	10	2	"Q4"	"Fall"
"Rhincodon typus"	-20.08845	116.58391	17459	2017	10	20	"Q4"	"Fall"
"Rhincodon typus"	-22.6	113.62	16739	2015	10	31	"Q4"	"Fall"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19706	2023	12	15	"Q4"	"Winter"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19672	2023	11	11	"Q4"	"Fall"
"Rhincodon typus"	-12.5	97.5	17806	2018	10	2	"Q4"	"Fall"
"Rhincodon typus"	-29.68244	113.77755	17496	2017	11	26	"Q4"	"Fall"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19676	2023	11	15	"Q4"	"Fall"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19703	2023	12	12	"Q4"	"Winter"
"Rhincodon typus"	-31.12117	114.39592	17527	2017	12	27	"Q4"	"Winter"
"Rhincodon typus"	-14.5	138.5	17450	2017	10	11	"Q4"	"Fall"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19674	2023	11	13	"Q4"	"Fall"
"Rhincodon typus"	-17.26796	96.21631	17496	2017	11	26	"Q4"	"Fall"
"Rhincodon typus"	-22.6	113.62	17119	2016	11	14	"Q4"	"Fall"
"Rhincodon typus"	-27.49522	112.46633	17452	2017	10	13	"Q4"	"Fall"
"Rhincodon typus"	-23.174515235457	113.559556786704	17455	2017	10	16	"Q4"	"Fall"
"Rhincodon typus"	-16.16347	94.01019	17500	2017	11	30	"Q4"	"Fall"
"Rhincodon typus"	-30.1551246537396	153.448753462604	18977	2021	12	16	"Q4"	"Winter"
"Rhincodon typus"	-15.45025	111.59552	17472	2017	11	2	"Q4"	"Fall"
